Angle_deg,Mass_kg,Bore_mm,Force_N,Volume_L,KE_J,Accel_g
9,41,87.9218743690177,6071.32885914979,225.540086806898,52251.7569554526,14.717813914909
10,41,87.9721426132693,6078.27325813946,225.540086806898,52251.7569554526,14.717813914909
11,41,88.0221823810472,6085.19003604614,225.540086806898,52251.7569554526,14.717813914909
12,41,88.0719788321429,6092.07708595231,225.540086806898,52251.7569554526,14.717813914909
13,41,88.1215172233755,6098.93230999583,225.540086806898,52251.7569554526,14.717813914909
14,41,88.1707829125125,6105.75362000906,225.540086806898,52251.7569554526,14.717813914909
15,41,88.2197613621363,6112.53893815488,225.540086806898,52251.7569554526,14.717813914909
5,42,88.6470838993856,6171.89869444344,230.338812058108,53363.4964651431,14.717813914909
6,42,88.6986558827991,6179.0820022415,230.338812058108,53363.4964651431,14.717813914909
7,42,88.7500578603277,6186.24578759048,230.338812058108,53363.4964651431,14.717813914909
8,42,88.8012744832148,6193.38786833195,230.338812058108,53363.4964651431,14.717813914909
9,42,88.8522904843649,6200.50606891894,230.338812058108,53363.4964651431,14.717813914909
10,42,88.903090682523,6207.59822107859,230.338812058108,53363.4964651431,14.717813914909
11,42,88.9536599863997,6214.66216447266,230.338812058108,53363.4964651431,14.717813914909
12,42,89.0039833987428,6221.69574735555,230.338812058108,53363.4964651431,14.717813914909
13,42,89.0540460203544,6228.69682722979,230.338812058108,53363.4964651431,14.717813914909
14,42,89.1038330540537,6235.66327149861,230.338812058108,53363.4964651431,14.717813914909
15,42,89.1533298085835,6242.59295811562,230.338812058108,53363.4964651431,14.717813914909
5,43,89.5657310663249,6300.47991724435,235.137537309319,54475.2359748336,14.717813914909
6,43,89.6178374887111,6307.8128772882,235.137537309319,54475.2359748336,14.717813914909
7,43,89.6697721434464,6315.12590816528,235.137537309319,54475.2359748336,14.717813914909
8,43,89.7215195227153,6322.41678225553,235.137537309319,54475.2359748336,14.717813914909
9,43,89.7730642012101,6329.68327868808,235.137537309319,54475.2359748336,14.717813914909
10,43,89.8243908403527,6336.92318401773,235.137537309319,54475.2359748336,14.717813914909
11,43,89.875484192463,6344.13429289917,235.137537309319,54475.2359748336,14.717813914909
12,43,89.926329104873,6351.31440875879,235.137537309319,54475.2359748336,14.717813914909
13,43,89.9769105239847,6358.46134446374,235.137537309319,54475.2359748336,14.717813914909
14,43,90.0272134992744,6365.57292298817,235.137537309319,54475.2359748336,14.717813914909
15,43,90.0772231872401,6372.64697807637,235.137537309319,54475.2359748336,14.717813914909
5,44,90.4750511413271,6429.06114004526,239.936262560529,55586.975484524,14.717813914909
6,44,90.527686576488,6436.5437523349,239.936262560529,55586.975484524,14.717813914909
7,44,90.5801485001193,6444.00602874008,239.936262560529,55586.975484524,14.717813914909
8,44,90.6324212469617,6451.44569617911,239.936262560529,55586.975484524,14.717813914909
9,44,90.6844892351014,6458.86048845723,239.936262560529,55586.975484524,14.717813914909
10,44,90.7363369702345,6466.24814695687,239.936262560529,55586.975484524,14.717813914909
11,44,90.7879490498785,6473.60642132569,239.936262560529,55586.975484524,14.717813914909
12,44,90.839310167527,6480.93307016203,239.936262560529,55586.975484524,14.717813914909
13,44,90.8904051167497,6488.22586169769,239.936262560529,55586.975484524,14.717813914909
14,44,90.9412187952372,6495.48257447772,239.936262560529,55586.975484524,14.717813914909
15,44,90.991736208788,6502.70099803711,239.936262560529,55586.975484524,14.717813914909
5,45,91.3753225800394,6557.64236284616,244.73498781174,56698.7149942145,14.717813914909
6,45,91.4284817637735,6565.2746273816,244.73498781174,56698.7149942145,14.717813914909
7,45,91.4814657094525,6572.88614931488,244.73498781174,56698.7149942145,14.717813914909
8,45,91.5342585959402,6580.47461010269,244.73498781174,56698.7149942145,14.717813914909
9,45,91.5868446862749,6588.03769822637,244.73498781174,56698.7149942145,14.717813914909
10,45,91.6392083319769,6595.573109896,244.73498781174,56698.7149942145,14.717813914909
11,45,91.6913339773013,6603.0785497522,244.73498781174,56698.7149942145,14.717813914909
12,45,91.7432061634343,6610.55173156527,244.73498781174,56698.7149942145,14.717813914909
13,45,91.7948095326344,6617.99037893165,244.73498781174,56698.7149942145,14.717813914909
14,45,91.8461288323164,6625.39222596728,244.73498781174,56698.7149942145,14.717813914909
15,45,91.8971489190794,6632.75501799785,244.73498781174,56698.7149942145,14.717813914909
5,46,92.2668102525864,6686.22358564706,249.533713062951,57810.454503905,14.717813914909
6,46,92.3204880747848,6694.0055024283,249.533713062951,57810.454503905,14.717813914909
7,46,92.3739889492481,6701.76626988968,249.533713062951,57810.454503905,14.717813914909
8,46,92.4272969004838,6709.50352402628,249.533713062951,57810.454503905,14.717813914909
9,46,92.4803960379953,6717.21490799552,249.533713062951,57810.454503905,14.717813914909
10,46,92.5332705606313,6724.89807283514,249.533713062951,57810.454503905,14.717813914909
11,46,92.5859047608796,6732.55067817871,249.533713062951,57810.454503905,14.717813914909
12,46,92.6382830291055,6740.17039296851,249.533713062951,57810.454503905,14.717813914909
13,46,92.690389857732,6747.7548961656,249.533713062951,57810.454503905,14.717813914909
